Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
Laurus Bio,Company developing novel enzymatic solutions for Industrial Biotechnology and Animal Origin Free recombinant proteins and enzymes for Biopharma. Formerly known as Richcore. ,"Cultivated,Fermentation-derived",Contract manufacturing/processing,"Cell culture media,End product formulation and manufacturing,Cell line development,Bioprocess design","Other meat,Ground meat,Whole muscle meat",,,,India ,Karnataka,Bengaluru,https://laurus.bio/about-us/,2005,Subramani Ramachandrappa,LarusBio-Footer-Image.png (https://dl.airtable.com/.attachments/3f4c8bc397a700c08840bfb1c93a7605/b70eb016/LarusBio-Footer-Image.png)
TeOra,Company using microfluidics and AI to design smart micro-organisms,Cultivated,Bioprocessing infrastructure and equipment,"Bioprocess design,Ingredient optimization",Other,,,Asia Pacific,Singapore,,,https://teora.life/,2020,"Rishita Changede, Seyed M. Hasheminejad",TeOra.png (https://dl.airtable.com/.attachments/20c2c87e7bce70ec809b3e2c09e85946/4743df51/TeOra.png)
Mycorena AB,Fungi-based protein for food applications (Swedish meatballs) using industrial side streams,Biomass fermentation,Ingredients and inputs,End product formulation and manufacturing,,,Mushrooms,Europe,Sweden,,Gothenburg,https://mycorena.com/,2017,"Ramkumar Nair, PhD",Mycorena-Logo-Main.png (https://dl.airtable.com/.attachments/52daee5ae7025c657121d1bbc00d8fcf/60e9862c/Mycorena-Logo-Main.png)
Nurati (Artesa) ,"A US based ingredient technology company that sells chickpea based ingredients such as chickpea protein, texturized protein, and flour as well as aiding in product development with our ingredients.",Plant-based,Ingredients and inputs,Ingredient optimization,,,Chickpea,U.S. and Canada,United States,Virginia,Richmond,https://artesaingredients.com/,2013,Michael Spinelli,Nutriati Large Square.jpg (https://dl.airtable.com/.attachments/c51c6100a8b6f7c4eb4494578a364a54/01ddb8f5/NutriatiLargeSquare.jpg)
Noblegen,"Noblegen produces high-value ingredients and alternative meat products (under the company ""Eunite Foods"") via a proprietary technique called 'facilitated expression' utilizing algae",Biomass fermentation,"Meat,Dairy,Ingredients and inputs,Eggs","End product formulation and manufacturing,Ingredient optimization,Cell line development","Eggs,Whole muscle meat,Other meat,Other dairy","Beef/veal,Chicken,Pork,Other",Algae,U.S. and Canada,Canada,Ontario,Peterborough,https://www.noblegen.com/,2013,Adam Noble,Noblegen.png (https://dl.airtable.com/.attachments/36d49acf111bfe360c230cef14fdefb8/7b2dcf99/Noblegen.png)
Herba Ingredients,"European manufacturer of pea and faba bean protein concentrates. Native, precooked, and textured forms are available of our proteins. ",Plant-based,"Meat,Dairy,Eggs,Contract manufacturing/processing",Ingredient optimization,"Ground meat,Cheese,Other dairy,Other","Chicken,Beef/veal,Fish,Turkey","Chickpea,Fava bean,Lentils,Mung Bean,Quinoa,Rice,Grains,Pea","U.S. and Canada,Europe,Asia Pacific,Global",Netherlands,,Wormer,www.herbaingredients.com,2012,Ebro Foods,Logo Herba Ingredients.PNG (https://dl.airtable.com/.attachments/bc20211ccbdc243fbcc8b9a78eee0182/3af8f6fc/LogoHerbaIngredients.PNG)
CreateFoods Canada Inc.,Canadian contract manufacturer in the plant protein isolate. Able to offer multiple raw material sources and finished goods to your specification. ,Plant-based,Contract manufacturing/processing,Ingredient optimization,,,,U.S. and Canada,Canada,,Edmonton,www.createfoodscanada.ca,2020,"Darren Kostiw, Tom Chan, Randy Book and Nisarg Patel",CreateFoods Canada - Final logo v2.jpg (https://dl.airtable.com/.attachments/06cb76545be14b70e5a837edfb0c5185/707ad848/CreateFoodsCanada-Finallogov2.jpg)
Jellatech ,Company developing animal-free collagen and gelatin,Cultivated,Ingredients and inputs,End product formulation and manufacturing,Other,Other,,,United States,North Carolina ,Raleigh,https://www.jellatech.com/,2020,"Andrew D. Ive, Ryan Bethencourt, Stephanie Michelsen",Jellitech.png (https://dl.airtable.com/.attachments/135e07209deb5e4f617626f214a02b55/cac69a51/Jellitech.png)
MOA Foodtech,"Spanish company that produces a high-value protein by transforming food waste and by-products, through a fermentation process optimized by AI",Biomass fermentation,"Ingredients and inputs,Dairy,Eggs,Meat","Bioprocess design,Ingredient optimization","Milk,Cheese,Whole muscle meat,Eggs,Pet food",,Yeast,"Europe,Global",Spain,,Madrid,https://www.moafoodtech.com/,2020,"Bosco Emparanza, Susana Sánchez, José María Elorza",logo MOA.JPG (https://dl.airtable.com/.attachments/d8a1af02f90cb0a15a682c4c543f1d8c/3a714995/logoMOA.JPG)
Cocuus System Iberica S.L.,Leading the scalable production of  alt-protein,Plant-based,"Food processing infrastructure and equipment,Bioprocessing infrastructure and equipment","Scaffolding and structure,End product formulation and manufacturing",,,,Global,Spain,,Cizur Menor,www.cocuus.com,2017,Francisco Javier Larumbe Beramendi and Daniel Rico Aldaz,Logo COCUUS horizontal color.png (https://dl.airtable.com/.attachments/f38bfbcd5fe5dd652522a1448d03e409/1afe4897/LogoCOCUUShorizontalcolor.png)
Algenuity Limited,UK-based company that provides microalgae-based solutions for use in the plant-based food sector. ,Biomass fermentation,"Ingredients and inputs,Food processing infrastructure and equipment",Ingredient optimization,,,Algae,Global,United Kingdom,,Stewartby,https://www.algenuity.com/,2009,,alg.webp (https://dl.airtable.com/.attachments/78962297493a54521497ae5975fc7347/d7d75ad6/alg.webp)
Nobell Foods ,U.S.-based company developing plant-based affordable substitutes to animal products. ,"Plant-based,Plant molecular farming","Meat,Ingredients and inputs",,,,,Global,United States,California,San Francisco,https://www.nobellfoods.com/,2016,,c462a925-a6dc-4b74-906b-6ec3e00a2e55.png (https://dl.airtable.com/.attachments/2f9398c6fad4052a5ca391b22db59e07/92864614/c462a925-a6dc-4b74-906b-6ec3e00a2e55.png)
Tiamat Sciences,Company developing a plant molecular farming technology to manufacture affordable growth factors and other proteins for cell-based meats,Plant molecular farming,Ingredients and inputs,,,,,Global,United States,North Carolina,Durham,https://www.tiamat-sciences.com/,2019,France-Emmanuelle Adil,tia.jpeg (https://dl.airtable.com/.attachments/98ec40be49e9c643e867e3baa2c0dc11/2877ba2f/tia.jpeg)
Sugarlogix (previously known as Zimitech),US-based company developing yeast-based technologies to produce functional sugars found naturally only in human breast milk. ,Precision fermentation,Ingredients and inputs,,,,,Global,United States,CA,Alameda,https://www.sugarlogix.com/,2016,Chaeyoung Shin,sugar.jpg (https://dl.airtable.com/.attachments/db60ae6826a6bfe440b2c32913f5dc45/1c679778/sugar.jpg)
Molecular Devices,"Company providing bioanalytical solutions for protein and cell biology in life science research, pharmaceutical and biotherapeutic development.","Cultivated,Fermentation-derived","Bioprocessing infrastructure and equipment,Other","Crop development,Cell line development,Host strain development",,,,Global,United States,California,San Jose,https://www.moleculardevices.com/,1990,,moldev-logo.png (https://dl.airtable.com/.attachments/ab01d441ed4fc638bf87d51c3148cc42/13a33dbc/moldev-logo.png)
HealthyProteins BV,Dutch B2B company specialized in (organic) plant-based ingredients for infant nutrition and dairy alternatives. ,Plant-based,"Dairy,Ingredients and inputs,Contract manufacturing/processing",Ingredient optimization,Other,,"Oat,Almond,Pea,Soy,Cashew,Hazelnut,Hemp,Coconut,Macadamia,Mung Bean,Peanut,Sunflower,Quinoa,Tapioca","Europe,U.S. and Canada,Asia Pacific,Global",Netherlands,,Schoorl,HealthyProteins BV,2020,Arnauld van Hees and Geannys Gonzalez,AA logo HealthyProteins.jpg (https://dl.airtable.com/.attachments/e546df18587f06cbded6d9159cf18c54/7f926350/AAlogoHealthyProteins.jpg)
Cambrium,Berlin-based startup that is working on engineering biology to create high-performance proteins.,Precision fermentation,"Ingredients and inputs,Contract manufacturing/processing",End product formulation and manufacturing,,,,Europe,Germany,,Berlin,https://www.cambrium.bio/,2020,"Mitchell Duffy, Charlie Cotton",gvllul8knmvbvmpxx40d.png (https://dl.airtable.com/.attachments/35c28b3f482067d2c3fd0e898f216c11/660ff64f/gvllul8knmvbvmpxx40d.png)
Montana Premier Protein,"Producer of highly functional organic, non-pea, pulse protein and starch concentrate to support our customers clean label goals.",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Fava bean,Chickpea,Lentils,Mung Bean",U.S. and Canada,United States,Montana,Billings,www.mtpremierprotein.com,2019,Christian Orms,MPP_TIFF.jpg (https://dl.airtable.com/.attachments/63c575a89aa658fc22b9e869ad933e33/a51a3313/MPP_TIFF.jpg)
"JV ""Vitmark-Ukraine"" LLC","Ukraine based company that produces plant-based milk, fruit smoothies, baby food, juices",Plant-based,"Other,Food processing infrastructure and equipment,Contract manufacturing/processing",End product formulation and manufacturing,,,,Global,Ukraine,,Odessa,https://int.vitmark.com/,1991,,Vitmark_Logo.png (https://dl.airtable.com/.attachments/79d54fd3ce69418d1ee3d90393bbdefe/8b0cbe77/Vitmark_Logo.png)
"Sempera Organics, Inc.",Sempera Organics produces mushroom-based ingredients and proprietary blends for use in alternative protein products. ,Fermentation-derived,"Meat,Ingredients and inputs",Ingredient optimization,Other,,Mushrooms,U.S. and Canada,United States,California,Morgan Hill,http://semperaorganics.com,2020,Nirmal Nair,SO logo.png (https://dl.airtable.com/.attachments/508135f8827b70b1f99986a093ea2481/9e4f6f59/SOlogo.png)
Mycovation,Singapore based mycoprotein technology company. ,Biomass fermentation,"Meat,Dairy,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization,Scaffolding and structure","Cheese,Ground meat,Other meat,Other","Chicken,Beef/veal,Pork","Fungi,Mushrooms",Asia Pacific,Singapore,,Singapore,https://www.mycovation.asia/,2020,"Shiva Susarla, Dr.Yashaswini Balaraju, Dr.Yong Xing Tan, Pramod Shaandilya",WhatsApp Image 2020-08-17 at 12.19.28 PM.jpeg (https://dl.airtable.com/.attachments/c5ffa9094818def3cb69f3c4593258b7/cc48ee98/WhatsAppImage2020-08-17at12.19.28PM.jpeg)
CP Kelco,"Ingredient solutions company working with food, beverage and consumer products manufacturers worldwide.","Plant-based,Cultivated,Fermentation-derived",Ingredients and inputs,"Bioprocess design,Ingredient optimization,End product formulation and manufacturing",,,Other,Global,United States,Georgia,Atlanta,www.cpkelco.com,1929,,CP-Kelco-RGB-Digital-Logo_2019_03_06.png (https://dl.airtable.com/.attachments/d60303fa9cb7e438c8159d83388b7c26/4caf0e00/CP-Kelco-RGB-Digital-Logo_2019_03_06.png)
Proliant Biologicals,"Manufacturer of bovine serum albumin, media from edible plasma, and edible grade serums (sourced in New Zealand)",Cultivated,"Ingredients and inputs,Other",Cell culture media,,,"Feedstocks,Other",Global,United States,Iowa,Ankeny,www.proliantinc.com,,,Proliant Biologicals Logo.jpg (https://dl.airtable.com/.attachments/d4a251627d395e34abb9f2690b46c8ad/1e961e49/ProliantBiologicalsLogo.jpg)
Schreiber Foods,"Schreiber Foods strives to do good through food every day. Based in North America, we’re a customer-brand leader in cream cheese, natural cheese, process cheese, shelf-stable beverages, plant based foods and yogurt.",Plant-based,"Dairy,Food processing infrastructure and equipment,Contract manufacturing/processing",End product formulation and manufacturing,"Other dairy,Cheese,Other",Other,,"Global,U.S. and Canada",United States,Wisconsin,Green Bay,https://www.schreiberfoods.com/,1946,Employee-Owned Company,Schreiber_6C_RGB.png (https://dl.airtable.com/.attachments/dffc66eea2f6156cf261dc7b0c294b06/334da515/Schreiber_6C_RGB.png)
C-Merak,"Canadian-based company producing 100% faba protein, starch, flour and fibre ingredients with no additives or chemicals.",Plant-based,Ingredients and inputs,"Feedstocks,Ingredient optimization,Crop development",,,Fava bean,U.S. and Canada,Canada,,"Tisdale, Saskatchewan",www.c-merak.ca,2018,,C-Merak.jpg (https://dl.airtable.com/.attachments/fb610daa49011b2b44b57a1cd903dac0/ecb1fae3/C-Merak.jpg)
"Kagome USA, Inc.",Specializing in plant-based sauces and buttery spreads for the food service industry. Also a co-manufacturer for plant-based retail buttery spreads.,Plant-based,Contract manufacturing/processing,,,,,"U.S. and Canada,Global",Japan,,LOS BANOS,www.kagomeusa.com,1900,Ichitaro Kanie,kagome logo.png (https://dl.airtable.com/.attachments/999289933b98410f6f606de5ec524613/95d2e620/kagomelogo.png)
Scoular,"We buy, sell, store, handle and process grain and various food and feed ingredients, as well as manage transportation and logistics worldwide. 
",Plant-based,Ingredients and inputs,"Crop development,Ingredient optimization",,,"Soy,Pea,Wheat,Oat,Barley,Algae,Buckwheat,Canola,Chickpea,Fava bean,Lentils,Rice,Sunflower,Mung Bean,Rye,Feedstocks,Millet,Quinoa,Flaxseed,Corn,Seeds,Grains","U.S. and Canada,Global",United States,Nebraska,Minneapolis,www.scoular.com ,1892,George Scoular ,Logo.png (https://dl.airtable.com/.attachments/cc3f7df6f0cc80f01382a005b6481d8a/13e788de/Logo.png)
Gelatex Technologies,Estonia-based company that produces edible plant-based scaffolds for cell-cultured meat,Cultivated,"Meat,Ingredients and inputs,Contract manufacturing/processing",Scaffolding and structure,,,,"Global,Europe",United Kingdom,,"Tallinn, Estonia",www.gelatex.com,2016,"Märt-Erik Martens, Mari-Ann Meigo Fonseca",Gelatex logo transparent.png (https://dl.airtable.com/.attachments/f057a69e95ff99dbb351204c938231ed/4e07518b/Gelatexlogotransparent.png)
Solid Food,"‘Solid Food’ is a quinoa specialist provider with production in Ayacucho, Peru and distribution in Europe out of Belgium.",Plant-based,"Meat,Ingredients and inputs,Contract manufacturing/processing",Ingredient optimization,Other,Beef/veal,Quinoa,"Latin America,Europe,U.S. and Canada",Belgium,,Gent,https://www.solidfood.global/,2015,Solid,Solidfood_Logo_FIN jpg.jpg (https://dl.airtable.com/.attachments/43ceceb2c9eec9a8fad5bfe066ee721c/4ea75f03/Solidfood_Logo_FINjpg.jpg)
ICL Food Specialties,Global food ingredients company that supplies plant-based ingredients to food and beverage companies.,Plant-based,"Meat,Dairy,Ingredients and inputs",Ingredient optimization,"Whole muscle meat,Ground meat,Other meat,Other dairy","Beef/veal,Chicken,Pork,Turkey,Fish,Shellfish,Other","Pea,Fava bean,Blend","U.S. and Canada,Latin America,Europe,Africa/Middle East,Asia Pacific,Global",Israel,,Tel Aviv,www.iclfood.com,1974,Israel Chemicals Ltd.,icl_logo_12_rgb-01.jpg (https://dl.airtable.com/.attachments/e889a1ba317a9b8a89f6f395e6b6541f/ddd2d6ad/icl_logo_12_rgb-01.jpg)
Animal Alternative Technologies,"U.K.-based company creating a complete, scalable cultured meat manufacturing system: the Renaissance Farm®, which includes raw materials, hardware (eg. bioreactors), AI software, bioelectronics, and bioprocesses ",Cultivated,"Bioprocessing infrastructure and equipment,Meat,Ingredients and inputs,Food processing infrastructure and equipment,Other","Bioprocess design,Scaffolding and structure,End product formulation and manufacturing,Ingredient optimization",Other,,,"Global,Europe",United Kingdom,,Cambridge,https://www.animalalternativetechnologies.com/,2020,"Clarisse Beurrier, Yash Mishra",AAT + RF Logo.png (https://dl.airtable.com/.attachments/24491bd98e8e6526f360e2d37b39b226/248ddbe6/AATRFLogo.png)
ProProtein,ProProtein is developing a technology to produce milk proteins by fermentation with yeast. ,Precision fermentation,"Dairy,Ingredients and inputs","Bioprocess design,Host strain development",Other dairy,Other,Casein,Europe,Estonia,,Tallinn,https://proprotein.eu/,2021,"Kaisa Orgusaar, Tiina Tamm",Logo.PNG (https://dl.airtable.com/.attachments/821c8c159448e68c4a25cf84c63c252b/bb866f87/Logo.PNG)
mimiX biotherapeutics,Switzerland-based biofabriation company that provides an acoustic bioprinting technology to create three-dimensional cellular constructs/cell-loaded scaffolds,Cultivated,Bioprocessing infrastructure and equipment,Scaffolding and structure,,,,Global,Switzerland,,Neuchâtel,https://www.mimixbio.com/,2019,"Thurner Marc, Tiziano Serra",Mimix_logo.png (https://dl.airtable.com/.attachments/95a788825c256e268a3d9f4befb8c65c/10d8a900/Mimix_logo.png)
BIC Protein B.V.,European manufacturer of soy flour and soy flakes. Defatted soy and starting up textured forms for several vegetable proteins on contract base,Plant-based,"Meat,Dairy,Contract manufacturing/processing",Ingredient optimization,"Ground meat,Cheese,Other dairy,Other","Chicken,Beef/veal,Fish,Turkey",Soy,"Europe,Global",Netherlands,,'s Hertogenbosch,www.bicservices.eu,2012,Harro de Groot,logo_BIC_protein_PMS.jpg (https://dl.airtable.com/.attachments/5c3106503c96ee20622fbf7fa02861f5/7e4377f8/logo_BIC_protein_PMS.jpg)
Unicorn Biotechnologies,U.K.-based company developing a fully automated manufacturing platform to enable cellular agriculture and cultivated meat producers to seamlessly scale products from the lab bench to supermarket shelves,Cultivated,Bioprocessing infrastructure and equipment,Bioprocess design,,,,Europe,United Kingdom,,Cambridge,https://unicornbiotechnologies.com/,2020,Adam Glen and Jack Reid,UB Fav 256 Color.png (https://dl.airtable.com/.attachments/b9cffbbca850312ff32aeac9e53ea029/530b7d1b/UBFav256Color.png)
Roslin Technologies Ltd,"U.K.-based AgriTech company, supplying iPS cell lines to the cultivated meat industry.",Cultivated,Ingredients and inputs,Cell line development,,,Other,"Global,Europe",United Kingdom,,Edinburgh,www.roslintech.com,2016,Glen Illing,RoslinTech Logo.jpg (https://dl.airtable.com/.attachments/a0c15dbc455ba40f20917386f8848cc6/f7adf097/RoslinTechLogo.jpg)
Sustainable Planet Ltd,Growing the most sustainable plant protein in the world.,Plant-based,Ingredients and inputs,Crop development,,,Duckweed,"Europe,Asia Pacific,Africa/Middle East",United Kingdom,,London,www.sustainablep.com,2021,Sven Kaufmann & Michael Mathres,Sustainable Planet square.png (https://dl.airtable.com/.attachments/32864a18dcdd5819f8f2fb1bedb218eb/d78a4b1a/SustainablePlanetsquare.png)
ESPACE Prozess Technologien GmbH,"Germany-based process engineering company, specializes on developing and delivering processes for production of high protein plant ingredients. ",Plant-based,Food processing infrastructure and equipment,Bioprocess design,,,,Europe,Germany,,Berlin,www.espace-prozess.de,2006,"Tatiana Ryabikova, Victor Ryabikov, ",espace_logo.png (https://dl.airtable.com/.attachments/61eda72757c5f0ec45c81bd9c54329b7/35b44a43/espace_logo.png)
Rival Foods,Dutch food-tech company that develops plant-based whole-cut products.,Plant-based,"Food processing infrastructure and equipment,Meat,Bioprocessing infrastructure and equipment,Seafood",End product formulation and manufacturing,Whole muscle meat,"Beef/veal,Chicken,Pork,Fish",,Europe,Netherlands,,Wageningen,www.rival-foods.com,2019,Birgit Dekkers & Ernst Breel,PMM-01_Logo_RGB.jpg (https://dl.airtable.com/.attachments/fc382d53853066eb018b522ddbf92faa/f3b73614/PMM-01_Logo_RGB.jpg)
microTERRA,"At microTERRA, we produce a functional and nutritional ingredient for the plant-based food industry, with no color and no taste. So our customers can replicate the texture experience, with a nutritional value and without altering the taste, or presentation.
And we do this from an aquatic plant, lemna, grown in a scalable, affordable and sustainable way.",Plant-based,Ingredients and inputs,Ingredient optimization,,,Duckweed,Latin America,Mexico,,Mexico City,https://www.microterra.com/,2018,"Marissa Cuevas, Fanny Villiers, Paola Constantino",microterra-01-scaled.jpg (https://dl.airtable.com/.attachments/367c06b336f51b6dcd060db30c232712/015a5435/microterra-01-scaled.jpg)
The Leaf Protein Co.,"US and Australian based company developing plant protein ingredients from nature's most abundant source of protein, green leaves. Our leaf protein ingredients are sustainably sourced from crop by-products and regenerative plants. They are free from the major plant allergens and not genetically modified.",Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,Other,"Australia,U.S. and Canada",Australia,,Melbourne,www.theleafprotein.com,2020,Fern Ho and Connor Balfany,leaf_protein #83C931 600x600.jpeg (https://dl.airtable.com/.attachments/01a4854722267b87e084b7514418e889/b2f2cee7/leaf_protein83C931600x600.jpeg)
Hoxton Farms,U.K.-based startup makes real animal fat - without the animals - as a B2B ingredient for the meat alternatives industry.,Cultivated,"Ingredients and inputs,Meat","Bioprocess design,Scaffolding and structure,Ingredient optimization,Cell line development,Cell culture media,End product formulation and manufacturing",Other,Other,Other,"Europe,Global",United Kingdom,,London,https://hoxtonfarms.com/,2020,Max Jamilly; Ed Steele,hoxton-farms-logo-square-small (3).jpeg (https://dl.airtable.com/.attachments/45d115cbb3da6cda568f17c7f99adaa6/a01658bb/hoxton-farms-logo-square-small3.jpeg)
DryGro,We produce a crop called water lentils (aka duckweed or lemna) which is a plant-based protein that is highly relevant to alternative protein markets within a number of vertices and use cases. ,Plant-based,Ingredients and inputs,"Crop development,Ingredient optimization",Ingredients,,Duckweed,Europe,United Kingdom,,London,https://www.drygro.com/,2015,Tim Kruger,DryGro_Logo_positive_RGB.png (https://dl.airtable.com/.attachments/763f945b9776c4e47a69ac0b5bfdeb64/8a6d38f1/DryGro_Logo_positive_RGB.png)
New Protein Global,"Building a highly-sustainable soy protein facility, with an exclusive technology that allows us produce clean-label protein, free of hexane.",Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,U.S. and Canada,Canada,,Toronto,www.newproteinglobal.com,2018,,NPG logo.svg (https://dl.airtable.com/.attachments/1ba2bbdd26d13059a9a224ae3852be22/a045f6c6/NPGlogo.svg)
Alghética,Uses microalgae as a platform to produce food and pharma ingredients via mobile photobioreactors that are designed to capture atmospheric CO2. The process is continuously optimized through AI and Machine Learning technology.,Biomass fermentation,Ingredients and inputs,Ingredient optimization,Other,,Algae,,Italy,,Verona,https://www.alghetica.com/,2021,Anthony Rosa,Alghética logo.png (https://dl.airtable.com/.attachments/920f13b5da67fdc54660179cc5a5c4fc/c379e537/Algheticalogo.png)
Ergo Bioscience Inc,Argentina-based biotech startup that uses carrot cell culture to produce casein and myoglobin for use in plant-based meat and dairy. ,Cultivated,Ingredients and inputs,Bioprocess design,Ingredients,,Casein,Latin America,Argentina,,,https://ergofoods.com/,2007, Alejandro Barbarini,Ergo Bioscience.jpeg (https://dl.airtable.com/.attachments/f04a569f0b560717c03852ca0e4cf1f1/7179413c/ErgoBioscience.jpeg)
Greenwise,"We work with green technologies that allow for the production of plant-based products with a high fiber structure, which gives our meat alternatives the chewiness and bite of real meat.",Plant-based,"Meat,Ingredients and inputs,Contract manufacturing/processing","End product formulation and manufacturing,Ingredient optimization","Ground meat,Other meat","Pork,Beef/veal,Chicken","Soy,Wheat",Europe,Russia,,Moscow,greenwise.ru,2020,Georgy Zhelezny,Greenwise logo2.png (https://dl.airtable.com/.attachments/9464a1da5c70f80b72e17f068dcc7f18/c60087c3/Greenwiselogo2.png)
Partner-M,"Partner-M is a leading Russian manufacturer of food and feed ingredients. Since 2005, the company has specialized in the deep processing of plant raw materials and the production of textured plant proteins, as well as starch-containing products, dietary fibers, dairy and animal proteins and auxiliary ingredients.",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Soy,Wheat,Pea",Europe,Russia,,Moscow,https://partnermk.ru/,2005,,Partner M logo.png (https://dl.airtable.com/.attachments/a1bf72c734986e9ba57e475d629af078/667fe1df/PartnerMlogo.png)
"Sincarne, Inc.",US-based company focused on creating mycoprotein products for both wholesale and retail markets.,Biomass fermentation,"Meat,Eggs,Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Food processing infrastructure and equipment","End product formulation and manufacturing,Host strain development","Ground meat,Whole muscle meat,Milk,Other meat,Cheese,Other dairy,Pet food,Eggs,Ingredients",,Fungi,Global,United States,California,Sunnyvale,https://sincarne.com/,2021,Brian Sefton,logo3s_800mark.png (https://dl.airtable.com/.attachments/7cf5ca0e256b7df75457b138f1430dea/0768895b/logo3s_800mark.png)
Moolec Science,U.K.-based ingredients company using plants to produce animal proteins,"Plant-based,Plant molecular farming","Meat,Eggs,Dairy,Ingredients and inputs",Crop development,Other,"Beef/veal,Chicken,Pork","Soy,Pea,Wheat,Oat",Global,United Kingdom,,Warwick,www.moolecscience.com,2020,"Gastón Paladini, Martín Salinas and Henk Hoogenkamp",Black_logo_in_transparency_with_claim_centered.png (https://dl.airtable.com/.attachments/24700a91399fda098cc478ceea713c57/f7c3bebb/Black_logo_in_transparency_with_claim_centered.png)
Accellta,"Israel-based company offering solutions for mass production of stem cells, progenitors, and differentiated cells for drug discovery, regenerative medicine and research, including patents and products involving human and livestock stem cell culturing",Cultivated,"Ingredients and inputs,Bioprocessing infrastructure and equipment","Cell line development,Cell culture media",,,,Global,Israel,,Technion City,https://www.accellta.com/,2012,"Itzchak Angel, Michal Amit",logo_accellta_80.jpeg (https://dl.airtable.com/.attachments/ac223abd8d87c2c79152cb5f6f209c48/0a28194c/logo_accellta_80.jpeg)
Devigere biosolutions Pvt Ltd,"Indian company producing functional, clean label plant protein concentrates from pulses. B2B , Non GMO and  Non soy.",Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,Other,Asia Pacific,India ,,Bangalore,https://devigerebiosolutions.in/,2020,Smitha Devigere  and Abhishek D.P,devigere_logo_final.pdf (https://dl.airtable.com/.attachments/ea8a0f10263cd5ec12cb527d6ce92b6a/3328d94d/devigere_logo_final.pdf)
Eat Well Group,North american based company that is one of the largest processors of plant based ingredients in Canada along with unique Food Technology in the plant based space.,Plant-based,Ingredients and inputs,"End product formulation and manufacturing,Ingredient optimization",,,"Pea,Lentils",U.S. and Canada,Canada,,Vancouver,www.eatwellgroup.com,2012,"MarK Coles, Marc Aneed",
GK Foods - Your personal Food Innovation team,"On-Demand Food Innovation team with expertise in Food Design & Manufacturing. We help entrepreneurs discover & implement novel ideas iteratively. Formulating the perfect plant-based ingredients, we are able to help entrepreneurs with variety of food applications. ",Plant-based,"Ingredients and inputs,Meat,Eggs,Dairy,Contract manufacturing/processing",End product formulation and manufacturing,"Ground meat,Other meat,Milk,Cheese,Eggs,Other",,,U.S. and Canada,United States,Illinois,Chicago,www.gkfoods.co,2020,Giovanni Santi,Logo3 copy 2.png (https://dl.airtable.com/.attachments/6c5e4015a9f548678dca6f3d4634906d/c204526b/Logo3copy2.png)
GreenFood50 B.V.,EU-based company that produces innovative quinoa ingredients from locally cultivated quinoa seeds.,Plant-based,Ingredients and inputs,Ingredient optimization,,,Quinoa,Europe,Netherlands,,Wageningen,https://greenfood50.com,2014,Marc Arts,Logo_50mm.png (https://dl.airtable.com/.attachments/34e19b778cf62484fd793ccc29b4fe5b/7abb4dca/Logo_50mm.png)
Asanté - Exponential Foods Inc,Plant based meat company producing food with Mexican flavor,Plant-based,"Meat,Contract manufacturing/processing,Ingredients and inputs,Seafood",End product formulation and manufacturing,"Whole muscle meat,Ground meat,Other meat","Beef/veal,Pork,Fish","Pea,Mushrooms","U.S. and Canada,Latin America",United States,Florida,Miami,https://www.asantefoods.com/,2019,Ivan Jimenez and Gaby Rivera,Asante.jpeg (https://dl.airtable.com/.attachments/04554f207edf57da18501350b93c0fd0/1e821fce/Asante.jpeg)
Plant Squad,"Mexican company producing healthy plant-based meat, pattys and chicken products with mexican taste. Dairy and egg plant-based products will be available soon.",Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,"Cheese,Ground meat,Other meat,Eggs","Beef/veal,Pork,Chicken,Fish,Tuna",,Latin America,Mexico,,Mexico City,www.plantsquad.com.mx,2018,"Eloy Fernández, Andoni Fernández",PSQ_Símbolo_OFFWHITE.jpg (https://dl.airtable.com/.attachments/bb95e7cf5613bf24fbf342f6a50cd79e/0ebb6b92/PSQ_Smbolo_OFFWHITE.jpg)
Neoproteins ,"We develop ingredients sourced in vegetable, fungi and algae proteins, to replace animal proteins in foods. We leverage our research on Artificial Intelligence, which allows us to deepen and accelerate our novel alternative protein search. We will sell functional protein isolates that will allow our customers to replicate their current products in a healthier and more sustainable way.",Plant-based,Ingredients and inputs,Ingredient optimization,,,,Latin America,Argentina,,,https://neoproteins.com/,2021,Gonzalo Gomez,neoproteins.png (https://dl.airtable.com/.attachments/a7d9a429632addbf1be6cec453f9bc2b/9dcdfe82/neoproteins.png)
